M,theta,beta_lower,beta_upper
4.000000,2,15.812579,89.439529
4.000000,3,16.521451,89.158407
4.000000,4,17.257758,88.876216
4.000000,5,18.021288,88.592587
4.000000,6,18.811727,88.307142
4.000000,7,19.628691,88.019492
4.000000,8,20.471739,87.729230
4.000000,9,21.340390,87.435930
4.000000,10,22.234145,87.139146
4.000000,11,23.152502,86.838401
4.000000,12,24.094976,86.533190
4.000000,13,25.061118,86.222970
4.000000,14,26.050529,85.907152
4.000000,15,27.062877,85.585100
4.000000,16,28.097914,85.256116
4.000000,17,29.155495,84.919434
4.000000,18,30.235588,84.574203
4.000000,19,31.338302,84.219476
4.000000,20,32.463897,83.854190
4.000000,21,33.612818,83.477139
4.000000,22,34.785719,83.086952
4.000000,23,35.983504,82.682048
4.000000,24,37.207369,82.260593
4.000000,25,38.458870,81.820432
4.000000,26,39.740003,81.359011
4.000000,27,41.053320,80.873251
4.000000,28,42.402085,80.359401
4.000000,29,43.790507,79.812795
4.000000,30,45.224076,79.227514
4.000000,31,46.710086,78.595867
4.000000,32,48.258478,77.907541
4.000000,33,49.883265,77.148175
4.000000,34,51.605176,76.296728
4.000000,35,53.456928,75.320168
4.000000,36,55.495654,74.161087
4.000000,37,57.838963,72.701614
4.000000,38,60.827133,70.601218
6.000000,0,9.594068,90.000000
6.000000,1,10.230742,89.765671
6.000000,2,10.906348,89.531078
6.000000,3,11.620372,89.295960
6.000000,4,12.371918,89.060047
6.000000,5,13.159761,88.823068
6.000000,6,13.982420,88.584746
6.000000,7,14.838231,88.344794
6.000000,8,15.725440,88.102916
6.000000,9,16.642243,87.858805
6.000000,10,17.586866,87.612139
6.000000,11,18.557606,87.362580
6.000000,12,19.552865,87.109771
6.000000,13,20.571181,86.853331
6.000000,14,21.611238,86.592856
6.000000,15,22.671883,86.327910
6.000000,16,23.752125,86.058025
6.000000,17,24.851142,85.782690
6.000000,18,25.968280,85.501351
6.000000,19,27.103051,85.213400
6.000000,20,28.255137,84.918165
6.000000,21,29.424388,84.614903
6.000000,22,30.610828,84.302785
6.000000,23,31.814664,83.980879
6.000000,24,33.036293,83.648132
6.000000,25,34.276327,83.303348
6.000000,26,35.535607,82.945152
6.000000,27,36.815245,82.571953
6.000000,28,38.116666,82.181894
6.000000,29,39.441672,81.772784
6.000000,30,40.792526,81.342000
6.000000,31,42.172078,80.886377
6.000000,32,43.583936,80.402013
6.000000,33,45.032716,79.884028
6.000000,34,46.524425,79.326173
6.000000,35,48.067051,78.720241
6.000000,36,49.671537,78.055086
6.000000,37,51.353475,77.314933
6.000000,38,53.136315,76.476171
6.000000,39,55.058099,75.500595
6.000000,40,57.188252,74.318642
6.000000,41,59.682031,72.774924
6.000000,42,63.104865,70.303888
7.000000,0,8.213211,90.000000
7.000000,1,8.848258,89.774959
7.000000,2,9.528135,89.549672
7.000000,3,10.251948,89.323891
7.000000,4,11.018214,89.097366
7.000000,5,11.824981,88.869843
7.000000,6,12.669959,88.641060
7.000000,7,13.550658,88.410752
7.000000,8,14.464533,88.178642
7.000000,9,15.409056,87.944442
7.000000,10,16.381816,87.707854
7.000000,11,17.380576,87.468562
7.000000,12,18.403299,87.226235
7.000000,13,19.448173,86.980521
7.000000,14,20.513612,86.731046
7.000000,15,21.598256,86.477407
7.000000,16,22.700964,86.219174
7.000000,17,23.820802,85.955879
7.000000,18,24.957035,85.687014
7.000000,19,26.109117,85.412023
7.000000,20,27.276681,85.130298
7.000000,21,28.459543,84.841164
7.000000,22,29.657670,84.543872
7.000000,23,30.871236,84.237587
7.000000,24,32.100573,83.921368
7.000000,25,33.346211,83.594148
7.000000,26,34.608890,83.254714
7.000000,27,35.889579,82.901668
7.000000,28,37.189520,82.533390
7.000000,29,38.510268,82.147983
7.000000,30,39.853762,81.743205
7.000000,31,41.222416,81.316364
7.000000,32,42.619246,80.864201
7.000000,33,44.048057,80.382687
7.000000,34,45.513710,79.866758
7.000000,35,47.022534,79.309904
7.000000,36,48.582965,78.703522
7.000000,37,50.206616,78.035847
7.000000,38,51.910158,77.290071
7.000000,39,53.718949,76.440718
7.000000,40,55.674846,75.445808
7.000000,41,57.856451,74.226636
7.000000,42,60.449712,72.597160
7.000000,43,64.284386,69.727529
8.000000,0,7.180756,90.000000
8.000000,1,7.815874,89.780913
8.000000,2,8.501741,89.561590
8.000000,3,9.236971,89.341794
8.000000,4,10.019345,89.121285
8.000000,5,10.846018,88.899819
8.000000,6,11.713757,88.677147
8.000000,7,12.619156,88.453014
8.000000,8,13.558842,88.227154
8.000000,9,14.529579,87.999295
8.000000,10,15.528384,87.769149
8.000000,11,16.552571,87.536417
8.000000,12,17.599774,87.300783
8.000000,13,18.667942,87.061913
8.000000,14,19.755331,86.819449
8.000000,15,20.860481,86.573012
8.000000,16,21.982196,86.322192
8.000000,17,23.119516,86.066546
8.000000,18,24.271704,85.805596
8.000000,19,25.438221,85.538819
8.000000,20,26.618718,85.265640
8.000000,21,27.813021,84.985427
8.000000,22,29.021124,84.697481
8.000000,23,30.243192,84.401020
8.000000,24,31.479560,84.095169
8.000000,25,32.730737,83.778940
8.000000,26,33.997428,83.451208
8.000000,27,35.280547,83.110689
8.000000,28,36.581250,82.755897
8.000000,29,37.900973,82.385102
8.000000,30,39.241490,81.996269
8.000000,31,40.604992,81.586974
8.000000,32,41.994189,81.154300
8.000000,33,43.412465,80.694674
8.000000,34,44.864095,80.203653
8.000000,35,46.354573,79.675591
8.000000,36,47.891107,79.103142
8.000000,37,49.483426,78.476454
8.000000,38,51.145149,77.781792
8.000000,39,52.896303,76.999032
8.000000,40,54.768373,76.096590
8.000000,41,56.816115,75.019625
8.000000,42,59.151746,73.655844
8.000000,43,62.097051,71.683384
